C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.45,0.075,-0.0706326,0.5066,6.375,0.508002,0.125,0.00253248,1
0.475,0.075,-0.0762362,0.533425,6.70833,0.522629,0.125,0.00283591,1
0.5,0.075,-0.0818717,0.56025,7.04167,0.535921,0.125,0.00313443,1
0.525,0.075,-0.0875402,0.587075,7.375,0.548012,0.125,0.00342575,1
0.55,0.075,-0.0932421,0.6139,7.70833,0.559023,0.125,0.00370818,1
0.575,0.075,-0.0989769,0.640725,8.04167,0.569065,0.125,0.00398053,1
0.6,0.075,-0.104744,0.66755,8.375,0.578237,0.125,0.00424203,1
0.625,0.075,-0.110541,0.694375,8.70833,0.586627,0.125,0.00449223,1
0.65,0.075,-0.116368,0.7212,9.04167,0.594314,0.125,0.00473095,1
0.675,0.075,-0.122222,0.748025,9.375,0.601369,0.125,0.00495821,1
0.7,0.075,-0.128101,0.77485,9.70833,0.607854,0.125,0.00517417,1
0.725,0.075,-0.134004,0.801675,10.0417,0.613826,0.125,0.00537911,1
0.75,0.075,-0.139928,0.8285,10.375,0.619333,0.125,0.00557341,1
0.775,0.075,-0.145872,0.855325,10.7083,0.62442,0.125,0.00575747,1
0.8,0.075,-0.151834,0.88215,11.0417,0.629127,0.125,0.00593173,1
0.825,0.075,-0.157812,0.908975,11.375,0.633489,0.125,0.00609668,1
0.85,0.075,-0.163805,0.9358,11.7083,0.637536,0.125,0.00625277,1
0.875,0.075,-0.169811,0.962625,12.0417,0.641299,0.125,0.00640048,1
0.9,0.075,-0.175829,0.98945,12.375,0.6448,0.125,0.00654027,1
0.925,0.075,-0.181858,1.01628,12.7083,0.648064,0.125,0.00667259,1
0.95,0.075,-0.187897,1.0431,13.0417,0.65111,0.125,0.00679786,1
0.975,0.075,-0.193945,1.06993,13.375,0.653957,0.125,0.00691651,1
1,0.075,-0.2,1.09675,13.7083,0.656622,0.125,0.00702892,1
0,0.1,0.0300034,0.015,0.5,0.0106592,0.166667,1.55635e-09,1
0.025,0.1,0.0242654,0.0411,0.833333,0.0288436,0.166667,8.34472e-08,1
