cell_id,sample_id,seurat_clusters,louvain_cluster,is_CSC,UMAP_1,UMAP_2,Lepr_expr,Krt14_expr,pseudotime,pseudotime_norm,CSC_signature_score
8F-MN-P2-C2-B8_S1076Aligned.quant,8F,1,1,FALSE,1.3275224120392368,-2.4065454656387026,0.026694426634536465,3.7662404582124536,NA,NA,-0.01778787492977904
8F-MN-P2-C2-B9_S1077Aligned.quant,8F,4,4,FALSE,-3.7642012088523344,0.3480984882322794,0.12288159675278487,3.8325829006984202,NA,NA,-0.044056811857670054
8F-MN-P2-C2-B10_S1078Aligned.quant,8F,0,0,TRUE,4.234405472971396,-0.25782013480908217,0.03996659286143183,3.1542353446448868,NA,NA,0.08012682717189609
8F-MN-P2-C2-B11_S1079Aligned.quant,8F,3,3,FALSE,-1.8096678703055813,-0.6972551996017152,0,3.2208647878856262,20.199417962654376,0.07287599612579769,-0.029264858263360873
8F-MN-P2-C2-B12_S1080Aligned.quant,8F,3,3,FALSE,-0.607345148824258,1.7472056692337339,0.17020929678192745,4.169988544413255,38.79589573133516,0.13996886208507872,0.00827426792091844
8F-MN-P2-C2-C1_S1081Aligned.quant,8F,3,3,FALSE,-2.3797221629844145,0.8858685439323729,0,3.0425464437044214,17.57321646482083,0.06340111667454187,-0.02119627109667463
8F-MN-P2-C2-C2_S1082Aligned.quant,8F,1,1,TRUE,1.0477482230438755,0.16384560818427263,0,3.8229358353725695,NA,NA,0.059688155150912636
8F-MN-P2-C2-C3_S1083Aligned.quant,8F,0,0,TRUE,1.1091007144226597,1.9958671873306577,0.20888380000936646,4.11258882189629,NA,NA,0.09072429483704797
8F-MN-P2-C2-C5_S1085Aligned.quant,8F,1,1,FALSE,0.04093380282063941,-2.0119436437392886,0,3.726399623227664,47.12438549001128,0.17001660843644284,-0.015189140675002488
8F-MN-P2-C2-C6_S1086Aligned.quant,8F,3,3,FALSE,-1.3386362045035793,-0.02215883677250685,0,3.564267858322348,32.7895762020786,0.11829910310718764,8.843199726831785e-4
8F-MN-P2-C2-C7_S1087Aligned.quant,8F,1,1,FALSE,0.2534769327415989,-2.3329067880416567,0.014938165073575657,3.6951190015647652,NA,NA,-0.06130832541978813
8F-MN-P2-C2-C8_S1088Aligned.quant,8F,1,1,FALSE,1.848361089922385,-2.145723884751862,0.021919584662756505,3.6928418240913627,47.69848983087233,0.17208787731150382,0.01440343480678652
8F-MN-P2-C2-C9_S1089Aligned.quant,8F,3,3,FALSE,-1.0486553161368801,1.467043930838043,0.32335799942672716,4.049309099606087,44.38368601793754,0.16012864015547087,-0.0058723772332175544
8F-MN-P2-C2-C10_S1090Aligned.quant,8F,0,0,TRUE,1.5979910056142972,2.152693445036346,0.13546985618913418,3.6933971416322144,NA,NA,0.09013733663162615
8F-MN-P2-C2-C11_S1091Aligned.quant,8F,1,1,TRUE,1.6729288400187061,-1.1436557227874453,0,3.4789933703534133,NA,NA,0.08077072588212153
8F-MN-P2-C2-D1_S1093Aligned.quant,8F,1,1,FALSE,-0.2870310991034939,-1.9004486257339175,0.020812942892914927,4.02109520032131,NA,NA,-0.06788934919561879
8F-MN-P2-C2-D2_S1094Aligned.quant,8F,3,3,FALSE,-1.1378281562552883,1.840362006971771,0.05954150527910719,4.036054959889042,45.43516934290865,0.1639222095968582,8.022503812777915e-4
8F-MN-P2-C2-D3_S1095Aligned.quant,8F,3,3,FALSE,-1.558343216680093,-0.1848132664466554,0.0678088367696928,3.3130715180726455,19.78005616223171,0.07136301149428934,-0.009638404996598349
8F-MN-P2-C2-D4_S1096Aligned.quant,8F,0,0,TRUE,4.058275178171591,0.27984195406192003,0.11047510576384453,3.567248703087344,NA,NA,0.08755644113272765
8F-MN-P2-C2-D5_S1097Aligned.quant,8F,2,2,FALSE,-2.2811875789390044,1.4461602514480894,0.09169880482053064,4.087011787854856,41.71864150684163,0.15051362185025124,-0.03306205292895442
8F-MN-P2-C2-D6_S1098Aligned.quant,8F,3,3,FALSE,-0.5823708026633694,2.084068710157806,0,3.9597480043330755,43.79535045819568,0.15800602751130027,0.009220965786729513
8F-MN-P2-C2-D7_S1099Aligned.quant,8F,3,3,TRUE,-1.1410305946097805,1.5581969564651792,0.48658665880243746,3.754520210916845,42.13080562428804,0.15200063849012427,0.03763115394061024
8F-MN-P2-C2-D8_S1100Aligned.quant,8F,1,1,TRUE,0.8513959200157688,-0.6684079820419008,0.16242581777156218,3.2897649811556597,NA,NA,0.08129753342355037
8F-MN-P2-C2-D9_S1101Aligned.quant,8F,1,1,TRUE,4.122723057962851,0.21345413679831682,0.06678420982407653,2.8078205992162393,NA,NA,0.11152469368650433
8F-MN-P2-C2-D11_S1103Aligned.quant,8F,0,0,TRUE,4.318447545267539,-0.11046365444905104,0.05890648460678307,3.299915162012442,NA,NA,0.11810900000362912
8F-MN-P2-C2-D12_S1104Aligned.quant,8F,1,1,FALSE,-1.1402876823173,-1.142647927453583,0,3.547574041284715,38.488034356281815,0.13885815164692894,-0.03895554853367572
8F-MN-P2-C2-E1_S1105Aligned.quant,8F,2,2,FALSE,-2.577444597981973,2.094793135473663,0,3.6202547124920694,66.45333094712998,0.23975209075841136,-0.03864127617715496
