cell_id,TGFb_module_score,mTOR_module_score,Angio_module_score,CSC_module_score
3M-IL-P1-B5-E1_S913Aligned.quant,-0.10181375001682007,-0.0543880028607555,-0.020327611061305956,-0.017048699590252958
3M-IL-P1-B5-E2_S914Aligned.quant,0.16686259464199585,-0.035665514749051955,0.05317264167868341,0.043700591702803715
3M-IL-P1-B5-E3_S915Aligned.quant,-0.09018106139913197,-0.03209423701765177,0.021078322442921432,0.0037271742148778653
3M-IL-P1-B5-E5_S917Aligned.quant,-0.059910154502057764,-0.06427461740016621,-0.0591870900124388,-0.0658023187244602
3M-IL-P1-B5-E7_S919Aligned.quant,-0.06505292889548497,-0.04898305140081337,0.02013585651829669,0.036281055186227235
3M-IL-P1-B5-E8_S920Aligned.quant,0.02479379575416782,-0.08455744940406694,-0.048097331609992064,-0.0910461504866396
3M-IL-P1-B5-E9_S921Aligned.quant,-0.10189074095562149,-0.034161810527149616,-0.04328919287318546,-0.0253570136382196
3M-IL-P1-B5-E10_S922Aligned.quant,-0.08209993853095757,-0.08514445254646968,-0.012572221938257105,-0.05710606837541052
3M-IL-P1-B5-E11_S923Aligned.quant,-0.08996968675650963,-0.060959132280858544,-0.01387676697821312,-0.03171397666226938
3M-IL-P1-B5-E12_S924Aligned.quant,0.1193947606417382,0.02822363086011906,-0.035075726101137086,0.005283395379355654
3M-IL-P1-B5-F1_S925Aligned.quant,0.13742255215210222,-0.05392476069827286,-0.023434837563011776,-0.047595708186061333
3M-IL-P1-B5-F3_S927Aligned.quant,0.1710584968072394,-0.0038351028653984265,-0.0037754509091627586,-0.02805526585045451
3M-IL-P1-B5-F4_S928Aligned.quant,-0.10649609316802137,-0.07364894349421795,-0.04253510944429323,-0.06679957314497514
3M-IL-P1-B5-F6_S930Aligned.quant,-0.08962153032166659,-0.10353954089658968,-0.07777910233125869,-0.04237511281606435
3M-IL-P1-B5-F7_S931Aligned.quant,0.054270115225397125,-0.08235163827407158,0.023268226310821732,-0.009154115852389788
3M-IL-P1-B5-F8_S932Aligned.quant,-0.0735437321653546,-0.041271711479468134,-0.07293626984797585,-0.08223914378956712
