C,M,dC,dM
0.0,0.10526315789473684,2.3533563986433137e-10,6.01509508868503e-10
0.05263157894736842,0.10526315789473684,1.7995160916939312e-10,5.953809112391184e-10
0.10526315789473684,0.10526315789473684,1.8893331343861064e-10,4.828197286421698e-10
0.15789473684210525,0.10526315789473684,-1.8135415391640208e-10,-4.266996200819051e-10
0.21052631578947367,0.10526315789473684,-2.8116642347697507e-10,-6.291717702389121e-10
0.2631578947368421,0.10526315789473684,2.017480627003465e-10,5.001736247400856e-10
0.3157894736842105,0.10526315789473684,2.164556311967658e-10,5.329589547464764e-10
0.3684210526315789,0.10526315789473684,-2.2931212484422758e-11,-1.3099277218486804e-10
0.42105263157894735,0.10526315789473684,1.0346867806987348e-10,2.6799606978045176e-10
0.47368421052631576,0.10526315789473684,3.3173352953497215e-11,8.513761917683382e-11
0.5263157894736842,0.10526315789473684,2.1507351455340995e-11,5.595623964183005e-11
0.5789473684210527,0.10526315789473684,1.7944656871549114e-10,5.025669325142701e-10
0.631578947368421,0.10526315789473684,-2.1072943390265664e-10,-5.447822193360707e-10
0.6842105263157894,0.10526315789473684,8.415534935579672e-11,1.9624268876583528e-10
0.7368421052631579,0.10526315789473684,6.308586986136788e-11,1.613623679119769e-10
0.7894736842105263,0.10526315789473684,-1.0600598177035181e-10,-1.4925838343060605e-12
0.8421052631578947,0.10526315789473684,2.0838664127609263e-11,5.324934937434023e-11
0.894736842105263,0.10526315789473684,2.680815569533479e-10,6.606142854970187e-10
0.9473684210526315,0.10526315789473684,3.93813870402937e-11,1.016109418827682e-10
1.0,0.10526315789473684,3.596323239207777e-11,9.265715972262001e-11
0.0,0.15789473684210525,5.384690471288422e-10,1.38728123433296e-09
0.05263157894736842,0.15789473684210525,4.8051340684196475e-11,1.2354395284575048e-10
0.10526315789473684,0.15789473684210525,-4.0691106040213754e-10,-7.236845012137394e-10
0.15789473684210525,0.15789473684210525,-1.0072487288681486e-10,-2.5864943520303996e-10
0.21052631578947367,0.15789473684210525,1.8445256433352597e-10,4.0369990683686297e-10
0.2631578947368421,0.15789473684210525,1.1910183950192277e-10,5.908025735301692e-10
0.3157894736842105,0.15789473684210525,3.905153977967757e-11,1.0037604081247764e-10
0.3684210526315789,0.15789473684210525,2.822941880253893e-11,9.115158627892583e-11
0.42105263157894735,0.15789473684210525,5.719269502435509e-11,1.4745676901739557e-10
0.47368421052631576,0.15789473684210525,5.815692372124204e-11,1.5061007996308717e-10
0.5263157894736842,0.15789473684210525,2.9713165261568975e-10,8.05006394877239e-10
0.5789473684210527,0.15789473684210525,6.14174266999612e-11,1.8173895721673716e-10
0.631578947368421,0.15789473684210525,-1.9878665380446137e-10,-5.124787261223673e-10
0.6842105263157894,0.15789473684210525,3.5864644587491057e-12,6.534861540785641e-11
0.7368421052631579,0.15789473684210525,-3.706068785191974e-11,-9.52979362089934e-11
0.7894736842105263,0.15789473684210525,2.2636614804838473e-10,6.0510219057619e-10
0.8421052631578947,0.15789473684210525,1.0658429694387905e-10,2.765283002581498e-10
0.894736842105263,0.15789473684210525,8.197353906780336e-11,2.0128954059117632e-10
0.9473684210526315,0.15789473684210525,-7.454648009996845e-11,-1.9044360533015947e-10
1.0,0.15789473684210525,-4.868661029888699e-12,-1.2377210367731095e-11
0.0,0.21052631578947367,-1.5342482839741933e-10,2.3853596875511585e-10
0.05263157894736842,0.21052631578947367,6.635858529335792e-11,9.803591272117274e-11
0.10526315789473684,0.21052631578947367,-2.9734670281555964e-10,-7.656210665452079e-10
0.15789473684210525,0.21052631578947367,1.2565429807764872e-09,1.0192787724960795e-09
0.21052631578947367,0.21052631578947367,3.0751845514487286e-11,7.985201389004715e-11
0.2631578947368421,0.21052631578947367,-1.213290579116233e-10,-3.124089875683467e-10
0.3157894736842105,0.21052631578947367,1.198759980169939e-10,2.512102192930854e-10
0.3684210526315789,0.21052631578947367,-1.122113513218892e-11,-1.6361856314262013e-11
0.42105263157894735,0.21052631578947367,7.508327293237471e-11,2.1042279030325517e-10
0.47368421052631576,0.21052631578947367,1.3786971564400119e-11,3.696803974051477e-11
0.5263157894736842,0.21052631578947367,-1.9912960169676808e-12,-7.100692256400976e-11
0.5789473684210527,0.21052631578947367,3.371636303484138e-12,9.529155242660181e-12
0.631578947368421,0.21052631578947367,-5.621991761017853e-11,-1.4426526639965687e-10
0.6842105263157894,0.21052631578947367,1.393805071359111e-10,3.276646176608722e-10
0.7368421052631579,0.21052631578947367,6.048950229597949e-11,1.5641882233907722e-10
0.7894736842105263,0.21052631578947367,5.7105542516922014e-11,1.4731749153895635e-10
0.8421052631578947,0.21052631578947367,1.4008616489036285e-10,4.599754466205752e-10
0.894736842105263,0.21052631578947367,5.2475690459630187e-11,1.3482254201946375e-10
0.9473684210526315,0.21052631578947367,1.7813417407808174e-10,4.5946890736559e-10
1.0,0.21052631578947367,5.040368122877226e-11,4.5620546229585557e-10
0.0,0.2631578947368421,1.8302914739365406e-11,4.5011050442411715e-11
0.05263157894736842,0.2631578947368421,1.2141665450826622e-10,3.11370651484566e-10
0.10526315789473684,0.2631578947368421,1.4513934498694425e-10,3.7231401295301225e-10
0.15789473684210525,0.2631578947368421,1.9206980450547917e-10,4.819771248776306e-10
0.21052631578947367,0.2631578947368421,7.858513839664738e-11,3.21218052157235e-10
0.2631578947368421,0.2631578947368421,9.407918888371114e-11,2.438576007790516e-10
0.3157894736842105,0.2631578947368421,-1.200631816189457e-10,-3.0983282606200646e-10
0.3684210526315789,0.2631578947368421,1.0615963663695993e-10,2.7426783066886173e-10
0.42105263157894735,0.2631578947368421,6.005196340197472e-12,1.1572187652575394e-11
0.47368421052631576,0.2631578947368421,1.39160127865523e-10,4.5218068178698445e-10
0.5263157894736842,0.2631578947368421,4.189559810185983e-11,1.0753181678424539e-10
0.5789473684210527,0.2631578947368421,2.6374236128390294e-11,6.748446246263029e-11
0.631578947368421,0.2631578947368421,1.4059620134787565e-10,3.408687776484953e-10
0.6842105263157894,0.2631578947368421,2.3583357489087575e-11,1.0200877920141238e-09
0.7368421052631579,0.2631578947368421,1.0908918213203833e-10,2.9259972222916986e-10
