f_ras,C,potential
0.7,0.9393939393939394,1.6907500113765566e-09
0.7,0.9494949494949496,1.7244063976964456e-09
0.7,0.9595959595959597,1.7652023725999718e-09
0.7,0.9696969696969697,1.806323079888139e-09
0.7,0.9797979797979799,1.8486366578943348e-09
0.7,0.98989898989899,1.8869180135330815e-09
0.7,1.0,1.9278146015571365e-09
0.9,0.0,3.93759323687869e-11
0.9,0.010101010101010102,4.0380813171373507e-11
0.9,0.020202020202020204,4.0557104251872595e-11
0.9,0.030303030303030304,4.11148578706963e-11
0.9,0.04040404040404041,4.020600350967798e-11
0.9,0.05050505050505051,3.928160378344011e-11
0.9,0.06060606060606061,3.3087358890896945e-11
0.9,0.07070707070707072,3.276885048381817e-11
0.9,0.08080808080808081,3.173914217866371e-11
0.9,0.09090909090909091,3.075167954175233e-11
0.9,0.10101010101010102,2.979957470458177e-11
0.9,0.11111111111111112,3.060502805169854e-11
0.9,0.12121212121212122,2.992093441698468e-11
0.9,0.13131313131313133,2.8747941176847058e-11
0.9,0.14141414141414144,2.744550153922513e-11
0.9,0.15151515151515152,2.6897921600481627e-11
0.9,0.16161616161616163,2.930648092328719e-11
0.9,0.17171717171717174,2.8981406500239547e-11
0.9,0.18181818181818182,2.841825203890413e-11
0.9,0.19191919191919193,2.8311118881339998e-11
0.9,0.20202020202020204,2.6783455363767978e-11
0.9,0.21212121212121213,2.65656464278975e-11
0.9,0.22222222222222224,2.501479719210919e-11
0.9,0.23232323232323235,2.5010384335945655e-11
0.9,0.24242424242424243,2.6975353488543535e-11
0.9,0.25252525252525254,2.7349254174489314e-11
0.9,0.26262626262626265,2.4127835531986553e-11
0.9,0.27272727272727276,2.7136765337637852e-11
0.9,0.2828282828282829,2.6980343884967357e-11
0.9,0.29292929292929293,2.6742164038751106e-11
0.9,0.30303030303030304,2.5578549379578067e-11
0.9,0.31313131313131315,2.512313253056463e-11
0.9,0.32323232323232326,2.4581496210033764e-11
0.9,0.33333333333333337,2.3264376956864016e-11
0.9,0.3434343434343435,2.3409830751776093e-11
0.9,0.3535353535353536,2.2551575646183113e-11
0.9,0.36363636363636365,2.275478346712367e-11
0.9,0.37373737373737376,2.3297605146984867e-11
0.9,0.38383838383838387,2.3076946638684518e-11
0.9,0.393939393939394,1.7519949576403013e-11
0.9,0.4040404040404041,1.6318358561163402e-11
0.9,0.4141414141414142,1.642546143991777e-11
0.9,0.42424242424242425,1.652784643153618e-11
0.9,0.43434343434343436,1.673259510746243e-11
0.9,0.4444444444444445,7.951499167295484e-12
0.9,0.4545454545454546,7.315686776904043e-12
0.9,0.4646464646464647,7.1306686705689595e-12
0.9,0.4747474747474748,6.5079591547428904e-12
0.9,0.48484848484848486,6.539636396941462e-12
0.9,0.494949494949495,6.4063266476189456e-12
0.9,0.5050505050505051,7.498380143511806e-12
0.9,0.5151515151515152,5.9734484474427954e-12
0.9,0.5252525252525253,5.612553071008713e-12
0.9,0.5353535353535354,4.475617407548641e-12
0.9,0.5454545454545455,4.500929371072697e-12
0.9,0.5555555555555556,6.836811700386452e-12
0.9,0.5656565656565657,3.6135101644914027e-12
0.9,0.5757575757575758,3.753627038823489e-12
0.9,0.5858585858585859,3.5655036723316545e-12
0.9,0.595959595959596,5.706929878163634e-12
0.9,0.6060606060606061,4.997404286124077e-12
0.9,0.6161616161616162,5.067301236304719e-12
0.9,0.6262626262626263,5.217634405338152e-12
0.9,0.6363636363636365,4.752033783307923e-12
0.9,0.6464646464646465,4.23896832338148e-12
0.9,0.6565656565656566,4.336424597632996e-12
0.9,0.6666666666666667,3.924875015341035e-12
0.9,0.6767676767676768,4.0043310979074415e-12
0.9,0.686868686868687,4.171045103022391e-12
0.9,0.696969696969697,3.669723335534203e-12
0.9,0.7070707070707072,2.237136402053836e-12
0.9,0.7171717171717172,1.938606402231325e-12
0.9,0.7272727272727273,3.731571729505037e-13
0.9,0.7373737373737375,9.048990513134212e-14
0.9,0.7474747474747475,0.0
0.9,0.7575757575757577,3.7384124976365926e-13
0.9,0.7676767676767677,5.579229558709021e-13
0.9,0.7777777777777778,7.889256027360403e-13
0.9,0.787878787878788,5.456286376699254e-13
0.9,0.797979797979798,1.6867349268154329e-12
0.9,0.8080808080808082,3.190047552714019e-12
0.9,0.8181818181818182,4.230029345877151e-12
0.9,0.8282828282828284,4.0603648389664566e-12
0.9,0.8383838383838385,4.401743840352511e-12
0.9,0.8484848484848485,4.305900193080202e-12
0.9,0.8585858585858587,4.3565286058779045e-12
0.9,0.8686868686868687,4.130712606981347e-12
0.9,0.8787878787878789,3.3810922636292362e-12
0.9,0.888888888888889,3.2755986475418756e-12
0.9,0.8989898989898991,3.087285758129671e-12
0.9,0.9090909090909092,2.931901635052892e-12
0.9,0.9191919191919192,2.913704070385624e-12
0.9,0.9292929292929294,2.809322920197684e-12
0.9,0.9393939393939394,1.6111657462726247e-12
0.9,0.9494949494949496,1.9996204467775872e-12
0.9,0.9595959595959597,1.2366976130031568e-12
0.9,0.9696969696969697,1.1151113702457258e-12
0.9,0.9797979797979799,1.3114649658059745e-12
0.9,0.98989898989899,2.359706145409883e-12
0.9,1.0,3.3468873015342033e-12
