seed_label,direction,f_ras,C,A,T,R,L,M
default,down,0.326530612244898,0.0580559226775658,0.1495856523275028,0.09887138110153361,0.039097206397448604,0.2243784784812094,1.3041361260130035e-05
default,down,0.30612244897959184,0.05380216231044586,0.14106896795039486,0.09315197399780507,0.03405454780351735,0.21160345184663396,6.551274186651711e-06
default,down,0.2857142857142858,0.04966862934263007,0.13247635571846156,0.0873966109903345,0.02933005211813129,0.198714533556375,3.1173409231438403e-06
default,down,0.26530612244897966,0.04564757321601822,0.12380206887244254,0.08160096890530216,0.024937282328782413,0.1857031032921977,1.3938815648487047e-06
default,down,0.24489795918367352,0.041731797746343974,0.11504038929843473,0.07576079514851197,0.02088852469833022,0.17256058393836657,5.799095351560797e-07
default,down,0.22448979591836737,0.037914243831413584,0.10618529695287941,0.06987166172899574,0.01719431734219689,0.15927794542174545,2.2170717486080672e-07
default,down,0.20408163265306134,0.03418770745000613,0.09723021519739017,0.06392877952327167,0.013863073594307582,0.14584532278211967,7.665137150499781e-08
default,down,0.1836734693877552,0.030544654982945767,0.08816781186997473,0.057926856573134386,0.010900759988031179,0.13225171779044154,2.34634133970941e-08
default,down,0.16326530612244905,0.026977104001332537,0.07898983706689884,0.05185998551747905,0.008310587362676054,0.11848475557907504,6.178990706814233e-09
default,down,0.1428571428571429,0.02347654401930368,0.06968698057263398,0.04572154708477922,0.00609266990638936,0.10453047084247026,1.3445123768405867e-09
default,down,0.12244897959183676,0.020033878234545242,0.06024873468548763,0.03950411894763116,0.004243597325540314,0.09037310201726087,2.2782144850868336e-10
default,down,0.10204081632653073,0.01663937387748869,0.0506632518466737,0.033199382153092025,0.0027558436611071807,0.07599487776979491,2.741725717895506e-11
default,down,0.08163265306122458,0.013282615806827474,0.04091719141908244,0.02679802109010725,0.0016168882810612673,0.061375787121797774,2.007972079845571e-12
default,down,0.061224489795918435,0.009952466948981626,0.030995557888513985,0.020289618754064872,0.0008078158645002437,0.04649333682281022,6.696512552566936e-14
default,down,0.04081632653061229,0.006637054846218976,0.0208815490790729,0.013662560743461583,0.0003008837478119945,0.031322323607983225,5.299956510910122e-16
default,down,0.020408163265306145,0.00332384270410997,0.01055647683440771,0.006903992512642889,5.4642832321588905e-05,0.015834715242070144,1.2427674536875976e-19
default,down,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slightly_more_benign,up,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slightly_more_benign,up,0.02040816326530612,0.0033238427041094006,0.010556476834374065,0.0069039925125676796,5.464283269131948e-05,0.01583471527110398,1.2427678736080937e-19
